id,artist,album,title,recording_condition,midi_filepath,mp3_filepath,youtube_url,duration_sec,performance_start_sec,performance_end_sec,split,acoust_id,mb_album_id,mb_artist_id,mb_track_id,mb_recording_id,agreement,discogs_idx
0,Kirk Lightsey,Lightsey 1,Moon Ra,studio,data/midi/studio/Kirk Lightsey/Lightsey 1/Moon Ra.midi,data/audio/studio/Kirk Lightsey/Lightsey 1/Moon Ra.mp3,https://www.youtube.com/watch?v=CNXT5tlTeCk,228.984,0,229,train,,,,,,0.92714657415438,95
1,Dick Hyman,September Song - Dick Hyman Plays the Music of Kurt Weill,One Life to Live,studio,data/midi/studio/Dick Hyman/September Song - Dick Hyman Plays the Music of Kurt Weill/One Life to Live.midi,data/audio/studio/Dick Hyman/September Song - Dick Hyman Plays the Music of Kurt Weill/One Life to Live.mp3,https://www.youtube.com/watch?v=apnwa_42OW0,173.04,0,173,train,,,,,,0.923941798941799,60
2,Art Tatum,"The Art Tatum Solo Masterpieces, Volume 1",Embraceable You,studio,"data/midi/studio/Art Tatum/The Art Tatum Solo Masterpieces, Volume 1/Embraceable You.midi","data/audio/studio/Art Tatum/The Art Tatum Solo Masterpieces, Volume 1/Embraceable You.mp3",https://www.youtube.com/watch?v=xAmuQIKiwms,268.104,0,268,train,4d5328df-496b-4594-919f-541082e04869,da515317-8087-48fe-89c1-532be01837e6,e073f6af-d696-4340-b847-e81fabc4d55b,024f5bb9-8a9f-3e22-9232-8e254ec4801f,2466977e-5855-4153-bbfd-c74642ca8883,0.7963431239058548,242
3,Hank Jones,Handful Of Keys,Believe It Beloved - Instrumental,studio,data/midi/studio/Hank Jones/Handful Of Keys/Believe It Beloved - Instrumental.midi,data/audio/studio/Hank Jones/Handful Of Keys/Believe It Beloved - Instrumental.mp3,https://www.youtube.com/watch?v=3Srtffx33EU,199.032,0,199,train,03cb49ce-d6e9-413f-b69f-a721777731fd,3836130b-cdca-4ea2-93b7-b95ba5ec6896,80d610fe-7771-4226-aa9b-950944791698,2f64b54c-4ec9-3dee-913d-51ea06e5dccb,186e1070-f3d9-4829-a20f-66a7b08b9f3b,0.876624857468643,128
4,Abdullah Ibrahim,Solotude,The Wedding,studio,data/midi/studio/Abdullah Ibrahim/Solotude/The Wedding.midi,data/audio/studio/Abdullah Ibrahim/Solotude/The Wedding.mp3,https://www.youtube.com/watch?v=kwkH1xR2msU,292.68,0,292,train,1fcdbff1-242d-4eac-b836-6be1cafd1ae7,a7f3e66d-6b62-4e27-b75c-5b45e92d39c6,fd64e185-9973-44d5-ad09-5d5562804292,8b2a715d-899f-46d6-88b7-5536cb74aee7,cfce4044-2c38-41e1-b8cc-0169e8171280,0.9335022165927802,129
5,Art Tatum,"The Art Tatum Solo Masterpieces, Vol. 4",I'll See You Again,studio,"data/midi/studio/Art Tatum/The Art Tatum Solo Masterpieces, Vol. 4/I'll See You Again.midi","data/audio/studio/Art Tatum/The Art Tatum Solo Masterpieces, Vol. 4/I'll See You Again.mp3",https://www.youtube.com/watch?v=3FfmgeLORJY,293.712,0,293,train,71674f2e-dcc8-4872-92f6-94b6dc54267f,d5fa77dd-666e-43b0-ac4c-c47b024fa47a,e073f6af-d696-4340-b847-e81fabc4d55b,0f020b3a-42be-3acd-83c4-9e09a0314359,e70d0042-181d-400a-b672-2bd5cb1aba99,0.9180911680911681,241
6,Adam Birnbaum,Steinway Standards,Someday My Prince Will Come,studio,data/midi/studio/Adam Birnbaum/Steinway Standards/Someday My Prince Will Come.midi,data/audio/studio/Adam Birnbaum/Steinway Standards/Someday My Prince Will Come.mp3,https://www.youtube.com/watch?v=XTk-UqajT5w,273.912,0,273,train,,,,,,0.97138437741686,142
7,Teddy Wilson,Solo Piano - The Keystone Transriptions,"Chinatown, My Chinatown",studio,"data/midi/studio/Teddy Wilson/Solo Piano - The Keystone Transriptions/Chinatown, My Chinatown.midi","data/audio/studio/Teddy Wilson/Solo Piano - The Keystone Transriptions/Chinatown, My Chinatown.mp3",https://www.youtube.com/watch?v=FThTvVXl310,153.216,0,153,train,,c488f9df-0862-4f0a-8a9f-d98fb7c96c3b,2e89725a-ac85-414c-b3b2-70f0a82fae9a,eec8dda0-3798-4853-87b6-e14daba16884,f19d9abb-f643-41bb-a6db-b9952c1e5e72,0.7862503025901719,69
8,Roland Hanna,Solo Piano,Where or When,studio,data/midi/studio/Roland Hanna/Solo Piano/Where or When.midi,data/audio/studio/Roland Hanna/Solo Piano/Where or When.mp3,https://www.youtube.com/watch?v=8d8ZJYz_6f4,343.944,0,344,train,9ec59abc-0fac-4e14-8475-4573a442d082,84c9fb4e-7b56-4ba8-9f8f-f0029571ef51,7af9292e-dde2-4684-a758-ce9064aedd38,8fb30e89-1d8b-3d51-9762-239ae00f7bf2,98c3523a-d831-43f9-9b94-00c0fa2f5935,0.7295081967213116,191
9,Duke Jordan,"Solo Master Pieces, Vol. 2",Deacon's Blues,studio,"data/midi/studio/Duke Jordan/Solo Master Pieces, Vol. 2/Deacon's Blues.midi","data/audio/studio/Duke Jordan/Solo Master Pieces, Vol. 2/Deacon's Blues.mp3",https://www.youtube.com/watch?v=qvqXA8j0dZc,210.264,0,210,train,,,,,,0.9319233311302049,176
10,John Hicks,Hicks Time,Jest A Little,studio,data/midi/studio/John Hicks/Hicks Time/Jest A Little.midi,data/audio/studio/John Hicks/Hicks Time/Jest A Little.mp3,https://www.youtube.com/watch?v=4aF0B9bRvxM,330.36,0,330,train,30cda39e-1bcd-4815-9017-eb244ebdd457,cd2ecda8-fb5f-4429-90f2-2777da54ce72,8b7b131b-4917-4401-a5a7-840fffd4361c,5162a750-5394-497d-86b4-e8761ff21467,f44349c8-2778-4afb-b6f6-fe99d7011e1d,0.9447748513169074,253
11,Bill Cunliffe,"Cunliffe, Bill -  Satisfaction",Road to Rio -  But Beautiful -  But Beautiful,studio,"data/midi/studio/Bill Cunliffe/Cunliffe, Bill -  Satisfaction/Road to Rio -  But Beautiful -  But Beautiful.midi","data/audio/studio/Bill Cunliffe/Cunliffe, Bill -  Satisfaction/Road to Rio -  But Beautiful -  But Beautiful.mp3",https://www.youtube.com/watch?v=YDTl0lSm3Q4,270.168,0,270,train,425d0825-bd50-4eb5-9a6d-81c09a7a8cdd,7bf51e28-7d87-478a-8c2f-d2f1fd4d5398,192496f2-4ed5-4a52-9a94-5d2021ad9f22,4c6dcb9f-b201-3466-a32b-63f174e4a7cd,bc347b1e-727a-41a3-bd9e-098c299a13ef,0.9236556760345209,138
12,Denny Zeitlin,Homecoming,Just Passing By,studio,data/midi/studio/Denny Zeitlin/Homecoming/Just Passing By.midi,data/audio/studio/Denny Zeitlin/Homecoming/Just Passing By.mp3,https://www.youtube.com/watch?v=TCZGwTyxa3o,192.696,0,192,train,,,,,,0.9220023282887079,28
13,Beegie Adair,Best Of Beegie Adair -  Solo Piano Performances,A Kiss To Build A Dream On,studio,data/midi/studio/Beegie Adair/Best Of Beegie Adair -  Solo Piano Performances/A Kiss To Build A Dream On.midi,data/audio/studio/Beegie Adair/Best Of Beegie Adair -  Solo Piano Performances/A Kiss To Build A Dream On.mp3,https://www.youtube.com/watch?v=D4LnZxnrFkI,194.784,0,194,train,,,,,,0.9031858954531394,179
