idx,key,uid,title,year,url,tracklist
0,"('Ahmad Jamal', 'Ballades')",14118796,Ballades,2019,https://www.discogs.com/release/14118796-Ahmad-Jamal-Ballades,"[<Track 'A1' 'Marseille'>, <Track 'A2' 'Because I Love You'>, <Track 'A3' 'I Should Care'>, <Track 'B1' 'Poinciana'>, <Track 'B2' 'Land Of Dreams'>, <Track 'B3' ""What's New"">, <Track 'C1' 'So Rare'>, <Track 'C2' 'Whisperings'>, <Track 'D1' 'Spring Is Here / Your Story'>, <Track 'D2' 'Emily'>]"
1,"('Hank Jones', 'Live At Maybeck Recital Hall, Vol. 16')",4810028,Live At Maybeck Recital Hall Volume Sixteen,1992,https://www.discogs.com/release/4810028-Hank-Jones-Live-At-Maybeck-Recital-Hall-Volume-Sixteen,"[<Track '1' 'Introductory Announcement'>, <Track '2' ""I Guess I'll Have To Change My Plan"">, <Track '3' ""It's The Talk Of The Town"">, <Track '4' 'The Very Thought Of You'>, <Track '5' 'The Night We Called It A Day'>, <Track '6' 'Bluesette'>, <Track '7' 'A Child Is Born'>, <Track '8' 'What Is This Thing Called Love'>, <Track '9' ""Oh What A Beautiful Mornin'"">, <Track '10' 'Six & Four'>, <Track '11' 'I Cover The Waterfront'>, <Track '12' 'Memories Of You'>, <Track '13' 'Spoken Introduction'>, <Track '14' 'Blue Monk'>, <Track '15' ""'Round Midnight"">, <Track '16' 'Spoken Introduction'>, <Track '17' 'Oh, Look At Me Now'>]"
2,"('Jim McNeely', 'The Maybeck Recital Series, Vol. 20')",3964904,At Maybeck,1992,https://www.discogs.com/release/3964904-Jim-McNeely-At-Maybeck,"[<Track '1' 'Introductory Announcement'>, <Track '2' 'There Will Never Be Another You'>, <Track '3' 'Zingaro'>, <Track '4' 'Bye Ya'>, <Track '5' ""'Round Midnight"">, <Track '6' 'Un Poco Loco'>, <Track '7' 'Touch'>, <Track '8' 'All The Things You Are'>, <Track '9' 'Body And Soul'>, <Track '10' 'Breaking Up, Breaking Out'>]"
3,"('Harold Mabern', 'Joy Spring')",3871775,Joy Spring,1985,https://www.discogs.com/release/3871775-Harold-Mabern-Joy-Spring,"[<Track 'A1' ""I've Got The World On A String"">, <Track 'A2' 'Blues In F / T-Bone Steak'>, <Track 'A3' 'House Of Jade'>, <Track 'A4' 'Joy Spring'>, <Track 'B1' 'Dat Dere'>, <Track 'B2' 'Pent Up House'>, <Track 'B3' 'Thou Swell'>, <Track 'B4' ""Mabern's Boogie"">]"
4,"('Chick Corea', 'Solo Piano -  Portraits')",1360703,Chick Corea Solo Piano - Portraits,2014,https://www.discogs.com/master/1360703-Chick-Corea-Chick-Corea-Solo-Piano-Portraits,"[<Track '1-1' 'Chick Talks: About Solo Piano'>, <Track '1-2' 'Improv #1 / How Deep Is The Ocean?'>, <Track '1-3' 'Chick Talks: About Bill Evans\t'>, <Track '1-4' 'Waltz For Debby'>, <Track '1-5' 'Chick Talks: About Stevie Wonder'>, <Track '1-6' 'Pastime Paradise'>, <Track '1-7' 'Chick Talks: About Thelonious Monk'>, <Track '1-8' ""'Round Midnight"">, <Track '1-9' 'Pannonica'>, <Track '1-10' 'Blue Monk'>, <Track '1-11' 'Chick Talks: About Bud Powell'>, <Track '1-12' 'Dusk In Sandi'>, <Track '1-13' 'Oblivion'>, <Track '1-14' 'Chick Talks: About Paco de Lucía'>, <Track '1-15' 'The Yellow Nimbus'>, <Track '2-1' 'Chick Talks: About Scriabin'>, <Track '2-2' 'Prelude #2 (Op. 11)'>, <Track '2-3' 'Prelude #4 (Op. 11)'>, <Track '2-4' 'Chick Talks: About Bartok'>, <Track '2-5' 'Bagatelle #1'>, <Track '2-6' 'Bagatelle #2'>, <Track '2-7' 'Bagatelle #3'>, <Track '2-8' 'Bagatelle #4'>, <Track '2-9' 'Chick Talks: About the Children’s Songs'>, <Track '2-10' ""Children's Song #1"">, <Track '2-11' ""Children's Song #2"">, <Track '2-12' ""Children's Song #3"">, <Track '2-13' ""Children's Song #4"">, <Track '2-14' ""Children's Song #5"">, <Track '2-15' ""Children's Song #9"">, <Track '2-16' ""Children's Song #10"">, <Track '2-17' ""Children's Song #11"">, <Track '2-18' ""Children's Song #12"">, <Track '2-19' 'Chick Talks: About Portraits'>, <Track '2-20' 'Portrait #1 - Krakow'>, <Track '2-21' 'Portrait #2 - Krakow'>, <Track '2-22' 'Portrait #1 - Casablanca'>, <Track '2-23' 'Portrait #2 - Casablanca'>, <Track '2-24' 'Portrait #1 - Easton, Maryland'>, <Track '2-25' 'Portrait #2 - Easton, Maryland'>, <Track '2-26' 'Portrait #3 - Easton, Maryland'>, <Track '2-27' 'Portrait #4 - Easton, Maryland'>, <Track '2-28' 'Portrait #1 - Vilnius'>, <Track '2-29' 'Portrait #2 - Vilnius'>]"
5,"('Barry Harris', 'The Maybeck Recital Series, Vol. 12')",1327992,Live At Maybeck Recital Hall Volume Twelve,1991,https://www.discogs.com/master/1327992-Barry-Harris-Live-At-Maybeck-Recital-Hall-Volume-Twelve,"[<Track '1' 'It Could Happen To You'>, <Track '2' ""All God's Chillun Got Rhythm"">, <Track '3' ""I'll Keep Loving You"">, <Track '4' 'She'>, <Track '5' 'Cherokee'>, <Track '6' 'Gone Again'>, <Track '7' 'Lucky Day'>, <Track '' 'Medley'>, <Track '9' ""Parker's Mood"">, <Track '10' 'Would You Like To Talk A Walk?'>]"
6,"('Denny Zeitlin', 'The Maybeck Recital Series, Vol. 27')",1523363,At Maybeck,1993,https://www.discogs.com/master/1523363-Denny-Zeitlin-At-Maybeck,"[<Track '1' 'Blues On The Side'>, <Track '2' 'The Girl Next Door'>, <Track '3' ""My Man's Gone Now"">, <Track '4' 'Lazy Bird'>, <Track '5' ""'Round Midnight"">, <Track '6' 'Love For Sale'>, <Track '7' 'And Then I Wondered If You Knew'>, <Track '8' 'Country Fair'>, <Track '9' 'Sophisticated Lady'>, <Track '10' 'The End Of A Love Affair'>, <Track '11' 'Just Passing By'>, <Track '' 'What Is This Thing Called Love?/Fifth House'>]"
7,"('Tete Montoliu', 'Solo Piano')",7772993,Solo Piano,1989,https://www.discogs.com/release/7772993-Tete-Montoliu-Solo-Piano,"[<Track '1' 'Yellow Dolphin Street'>, <Track '2' 'Come Sunday'>, <Track '3' 'I Hate You'>, <Track '4' ""You've Changed"">, <Track '5' 'Walse For Nicolien'>, <Track '6' 'Where Are You'>, <Track '7' 'Napoleon'>, <Track '8' 'If You Could See Me Now'>, <Track '9' 'Cigales Al Ven'>, <Track '10' 'Canço De Matinada'>, <Track '11' 'Manuel '>, <Track '12' 'Me Embaix Apeu'>, <Track '13' 'Una Gitarra'>, <Track '14' 'Ruço'>]"
8,"('Dick Hyman', 'Broadway Songbook')",,,,,
9,"('Larry Goldings', 'In My Room')",8909449,In My Room,2011,https://www.discogs.com/release/8909449-Larry-Goldings-In-My-Room,"[<Track '1' 'In My Room'>, <Track '2' 'Beautiful Dreamer'>, <Track '3' 'Crawdaddy'>, <Track '4' 'Interlude No. 1'>, <Track '5' 'Take Me Out To The Ballgame'>, <Track '6' 'The Flower Song'>, <Track '7' 'All I Want'>, <Track '8' 'Roach'>, <Track '9' 'Maybe'>, <Track '10' 'All My Born Days'>, <Track '11' 'Interlude No. 2'>, <Track '12' 'Everything Happens To Me'>, <Track '13' 'A Rose For Emily'>, <Track '14' 'Libre'>, <Track '15' 'Interlude No. 3'>, <Track '16' 'The Wedding'>, <Track '17' 'Interlude No. 4'>, <Track '18' 'Here, There And Everywhere'>]"
